Country,Happiness_Rank,Year,Happiness_Score,Type,Value
Congo (Brazzaville),103,2019,4.812,GDP per capita,0.673
Gabon,104,2019,4.799,GDP per capita,1.057
Laos,105,2019,4.796,GDP per capita,0.764
South Africa,106,2019,4.722,GDP per capita,0.96
Albania,107,2019,4.719,GDP per capita,0.947
Venezuela,108,2019,4.707,GDP per capita,0.96
Cambodia,109,2019,4.7,GDP per capita,0.574
Palestinian Territories,110,2019,4.696,GDP per capita,0.657
Senegal,111,2019,4.681,GDP per capita,0.45
Somalia,112,2019,4.668,GDP per capita,0.0
Namibia,113,2019,4.639,GDP per capita,0.879
Niger,114,2019,4.628,GDP per capita,0.138
Burkina Faso,115,2019,4.587,GDP per capita,0.331
Armenia,116,2019,4.559,GDP per capita,0.85
Iran,117,2019,4.548,GDP per capita,1.1
Guinea,118,2019,4.534,GDP per capita,0.38
Georgia,119,2019,4.519,GDP per capita,0.886
Gambia,120,2019,4.516,GDP per capita,0.308
Kenya,121,2019,4.509,GDP per capita,0.512
Mauritania,122,2019,4.49,GDP per capita,0.57
Mozambique,123,2019,4.466,GDP per capita,0.204
Tunisia,124,2019,4.461,GDP per capita,0.921
Bangladesh,125,2019,4.456,GDP per capita,0.562
Iraq,126,2019,4.437,GDP per capita,1.043
Congo (Kinshasa),127,2019,4.418,GDP per capita,0.094
Mali,128,2019,4.39,GDP per capita,0.385
Sierra Leone,129,2019,4.374,GDP per capita,0.268
Sri Lanka,130,2019,4.366,GDP per capita,0.949
Myanmar,131,2019,4.36,GDP per capita,0.71
Chad,132,2019,4.35,GDP per capita,0.35
Ukraine,133,2019,4.332,GDP per capita,0.82
Ethiopia,134,2019,4.286,GDP per capita,0.336
Swaziland,135,2019,4.212,GDP per capita,0.811
Uganda,136,2019,4.189,GDP per capita,0.332
Egypt,137,2019,4.166,GDP per capita,0.913
Zambia,138,2019,4.107,GDP per capita,0.578
Togo,139,2019,4.085,GDP per capita,0.275
India,140,2019,4.015,GDP per capita,0.755
Liberia,141,2019,3.975,GDP per capita,0.073
Comoros,142,2019,3.973,GDP per capita,0.274
Madagascar,143,2019,3.933,GDP per capita,0.274
Lesotho,144,2019,3.802,GDP per capita,0.489
Burundi,145,2019,3.775,GDP per capita,0.046
Zimbabwe,146,2019,3.663,GDP per capita,0.366
Haiti,147,2019,3.597,GDP per capita,0.323
Botswana,148,2019,3.488,GDP per capita,1.041
Syria,149,2019,3.462,GDP per capita,0.619
Malawi,150,2019,3.41,GDP per capita,0.191
Yemen,151,2019,3.38,GDP per capita,0.287
Rwanda,152,2019,3.334,GDP per capita,0.359
Tanzania,153,2019,3.231,GDP per capita,0.476
Afghanistan,154,2019,3.203,GDP per capita,0.35
Central African Republic,155,2019,3.083,GDP per capita,0.026
South Sudan,156,2019,2.853,GDP per capita,0.306
Finland,1,2019,7.769,Healthy life expectancy,0.986
Denmark,2,2019,7.6,Healthy life expectancy,0.996
Norway,3,2019,7.554,Healthy life expectancy,1.028
Iceland,4,2019,7.494,Healthy life expectancy,1.026
Netherlands,5,2019,7.488,Healthy life expectancy,0.999
Switzerland,6,2019,7.48,Healthy life expectancy,1.052
Sweden,7,2019,7.343,Healthy life expectancy,1.009
New Zealand,8,2019,7.307,Healthy life expectancy,1.026
Canada,9,2019,7.278,Healthy life expectancy,1.039
Austria,10,2019,7.246,Healthy life expectancy,1.016
Australia,11,2019,7.228,Healthy life expectancy,1.036
Costa Rica,12,2019,7.167,Healthy life expectancy,0.963
Israel,13,2019,7.139,Healthy life expectancy,1.029
Luxembourg,14,2019,7.09,Healthy life expectancy,1.012
United Kingdom,15,2019,7.054,Healthy life expectancy,0.996
Ireland,16,2019,7.021,Healthy life expectancy,0.999
Germany,17,2019,6.985,Healthy life expectancy,0.987
Belgium,18,2019,6.923,Healthy life expectancy,0.986
United States,19,2019,6.892,Healthy life expectancy,0.874
Czech Republic,20,2019,6.852,Healthy life expectancy,0.92
United Arab Emirates,21,2019,6.825,Healthy life expectancy,0.825
Malta,22,2019,6.726,Healthy life expectancy,0.999
Mexico,23,2019,6.595,Healthy life expectancy,0.861
France,24,2019,6.592,Healthy life expectancy,1.045
Taiwan,25,2019,6.446,Healthy life expectancy,0.914
Chile,26,2019,6.444,Healthy life expectancy,0.92
Guatemala,27,2019,6.436,Healthy life expectancy,0.746
Saudi Arabia,28,2019,6.375,Healthy life expectancy,0.795
Qatar,29,2019,6.374,Healthy life expectancy,0.871
Spain,30,2019,6.354,Healthy life expectancy,1.062
Panama,31,2019,6.321,Healthy life expectancy,0.91
Brazil,32,2019,6.3,Healthy life expectancy,0.802
Uruguay,33,2019,6.293,Healthy life expectancy,0.891
Singapore,34,2019,6.262,Healthy life expectancy,1.141
El Salvador,35,2019,6.253,Healthy life expectancy,0.789
Italy,36,2019,6.223,Healthy life expectancy,1.039
Bahrain,37,2019,6.199,Healthy life expectancy,0.871
Slovakia,38,2019,6.198,Healthy life expectancy,0.881
Trinidad & Tobago,39,2019,6.192,Healthy life expectancy,0.713
Poland,40,2019,6.182,Healthy life expectancy,0.884
Uzbekistan,41,2019,6.174,Healthy life expectancy,0.756
Lithuania,42,2019,6.149,Healthy life expectancy,0.818
Colombia,43,2019,6.125,Healthy life expectancy,0.841
Slovenia,44,2019,6.118,Healthy life expectancy,0.953
Nicaragua,45,2019,6.105,Healthy life expectancy,0.835
Kosovo,46,2019,6.1,Healthy life expectancy,0.758
Argentina,47,2019,6.086,Healthy life expectancy,0.881
Romania,48,2019,6.07,Healthy life expectancy,0.825
Cyprus,49,2019,6.046,Healthy life expectancy,1.042
Ecuador,50,2019,6.028,Healthy life expectancy,0.868
Kuwait,51,2019,6.021,Healthy life expectancy,0.808
Thailand,52,2019,6.008,Healthy life expectancy,0.828
Latvia,53,2019,5.94,Healthy life expectancy,0.812
South Korea,54,2019,5.895,Healthy life expectancy,1.036
Estonia,55,2019,5.893,Healthy life expectancy,0.874
Jamaica,56,2019,5.89,Healthy life expectancy,0.831
Mauritius,57,2019,5.888,Healthy life expectancy,0.798
Japan,58,2019,5.886,Healthy life expectancy,1.088
Honduras,59,2019,5.86,Healthy life expectancy,0.828
Kazakhstan,60,2019,5.809,Healthy life expectancy,0.729
Bolivia,61,2019,5.779,Healthy life expectancy,0.706
Hungary,62,2019,5.758,Healthy life expectancy,0.828
Paraguay,63,2019,5.743,Healthy life expectancy,0.777
Northern Cyprus,64,2019,5.718,Healthy life expectancy,1.042
Peru,65,2019,5.697,Healthy life expectancy,0.854
Portugal,66,2019,5.693,Healthy life expectancy,0.999
Pakistan,67,2019,5.653,Healthy life expectancy,0.535
Russia,68,2019,5.648,Healthy life expectancy,0.726
Philippines,69,2019,5.631,Healthy life expectancy,0.657
Serbia,70,2019,5.603,Healthy life expectancy,0.854
Moldova,71,2019,5.529,Healthy life expectancy,0.739
Libya,72,2019,5.525,Healthy life expectancy,0.673
Montenegro,73,2019,5.523,Healthy life expectancy,0.871
Tajikistan,74,2019,5.467,Healthy life expectancy,0.718
Croatia,75,2019,5.432,Healthy life expectancy,0.914
Hong Kong,76,2019,5.43,Healthy life expectancy,1.122
Dominican Republic,77,2019,5.425,Healthy life expectancy,0.779
Bosnia and Herzegovina,78,2019,5.386,Healthy life expectancy,0.845
Turkey,79,2019,5.373,Healthy life expectancy,0.808
Malaysia,80,2019,5.339,Healthy life expectancy,0.828
Belarus,81,2019,5.323,Healthy life expectancy,0.789
Greece,82,2019,5.287,Healthy life expectancy,0.999
Mongolia,83,2019,5.285,Healthy life expectancy,0.667
North Macedonia,84,2019,5.274,Healthy life expectancy,0.838
Nigeria,85,2019,5.265,Healthy life expectancy,0.245
Kyrgyzstan,86,2019,5.261,Healthy life expectancy,0.723
Turkmenistan,87,2019,5.247,Healthy life expectancy,0.657
Algeria,88,2019,5.211,Healthy life expectancy,0.785
Morocco,89,2019,5.208,Healthy life expectancy,0.782
Azerbaijan,90,2019,5.208,Healthy life expectancy,0.769
Lebanon,91,2019,5.197,Healthy life expectancy,0.815
Indonesia,92,2019,5.192,Healthy life expectancy,0.66
China,93,2019,5.191,Healthy life expectancy,0.893
Vietnam,94,2019,5.175,Healthy life expectancy,0.851
Bhutan,95,2019,5.082,Healthy life expectancy,0.604
Cameroon,96,2019,5.044,Healthy life expectancy,0.331
Bulgaria,97,2019,5.011,Healthy life expectancy,0.815
Ghana,98,2019,4.996,Healthy life expectancy,0.486
Ivory Coast,99,2019,4.944,Healthy life expectancy,0.232
Nepal,100,2019,4.913,Healthy life expectancy,0.677
Jordan,101,2019,4.906,Healthy life expectancy,0.815
Benin,102,2019,4.883,Healthy life expectancy,0.397
Congo (Brazzaville),103,2019,4.812,Healthy life expectancy,0.508
Gabon,104,2019,4.799,Healthy life expectancy,0.571
Laos,105,2019,4.796,Healthy life expectancy,0.551
South Africa,106,2019,4.722,Healthy life expectancy,0.469
Albania,107,2019,4.719,Healthy life expectancy,0.874
Venezuela,108,2019,4.707,Healthy life expectancy,0.805
Cambodia,109,2019,4.7,Healthy life expectancy,0.637
Palestinian Territories,110,2019,4.696,Healthy life expectancy,0.672
Senegal,111,2019,4.681,Healthy life expectancy,0.571
Somalia,112,2019,4.668,Healthy life expectancy,0.268
Namibia,113,2019,4.639,Healthy life expectancy,0.477
Niger,114,2019,4.628,Healthy life expectancy,0.366
Burkina Faso,115,2019,4.587,Healthy life expectancy,0.38
Armenia,116,2019,4.559,Healthy life expectancy,0.815
Iran,117,2019,4.548,Healthy life expectancy,0.785
Guinea,118,2019,4.534,Healthy life expectancy,0.375
Georgia,119,2019,4.519,Healthy life expectancy,0.752
Gambia,120,2019,4.516,Healthy life expectancy,0.428
Kenya,121,2019,4.509,Healthy life expectancy,0.581
Mauritania,122,2019,4.49,Healthy life expectancy,0.489
Mozambique,123,2019,4.466,Healthy life expectancy,0.39
Tunisia,124,2019,4.461,Healthy life expectancy,0.815
Bangladesh,125,2019,4.456,Healthy life expectancy,0.723
Iraq,126,2019,4.437,Healthy life expectancy,0.574
Congo (Kinshasa),127,2019,4.418,Healthy life expectancy,0.357
Mali,128,2019,4.39,Healthy life expectancy,0.308
Sierra Leone,129,2019,4.374,Healthy life expectancy,0.242
Sri Lanka,130,2019,4.366,Healthy life expectancy,0.831
Myanmar,131,2019,4.36,Healthy life expectancy,0.555
Chad,132,2019,4.35,Healthy life expectancy,0.192
Ukraine,133,2019,4.332,Healthy life expectancy,0.739
Ethiopia,134,2019,4.286,Healthy life expectancy,0.532
Swaziland,135,2019,4.212,Healthy life expectancy,0.0
Uganda,136,2019,4.189,Healthy life expectancy,0.443
Egypt,137,2019,4.166,Healthy life expectancy,0.644
Zambia,138,2019,4.107,Healthy life expectancy,0.426
Togo,139,2019,4.085,Healthy life expectancy,0.41
India,140,2019,4.015,Healthy life expectancy,0.588
Liberia,141,2019,3.975,Healthy life expectancy,0.443
Comoros,142,2019,3.973,Healthy life expectancy,0.505
Madagascar,143,2019,3.933,Healthy life expectancy,0.555
Lesotho,144,2019,3.802,Healthy life expectancy,0.168
Burundi,145,2019,3.775,Healthy life expectancy,0.38
Zimbabwe,146,2019,3.663,Healthy life expectancy,0.433
Haiti,147,2019,3.597,Healthy life expectancy,0.449
Botswana,148,2019,3.488,Healthy life expectancy,0.538
Syria,149,2019,3.462,Healthy life expectancy,0.44
Malawi,150,2019,3.41,Healthy life expectancy,0.495
Yemen,151,2019,3.38,Healthy life expectancy,0.463
Rwanda,152,2019,3.334,Healthy life expectancy,0.614
Tanzania,153,2019,3.231,Healthy life expectancy,0.499
Afghanistan,154,2019,3.203,Healthy life expectancy,0.361
Central African Republic,155,2019,3.083,Healthy life expectancy,0.105
South Sudan,156,2019,2.853,Healthy life expectancy,0.295
Finland,1,2019,7.769,Freedom to make life choices,0.596
Denmark,2,2019,7.6,Freedom to make life choices,0.592
Norway,3,2019,7.554,Freedom to make life choices,0.603
Iceland,4,2019,7.494,Freedom to make life choices,0.591
Netherlands,5,2019,7.488,Freedom to make life choices,0.557
Switzerland,6,2019,7.48,Freedom to make life choices,0.572
Sweden,7,2019,7.343,Freedom to make life choices,0.574
New Zealand,8,2019,7.307,Freedom to make life choices,0.585
Canada,9,2019,7.278,Freedom to make life choices,0.584
Austria,10,2019,7.246,Freedom to make life choices,0.532
Australia,11,2019,7.228,Freedom to make life choices,0.557
Costa Rica,12,2019,7.167,Freedom to make life choices,0.558
Israel,13,2019,7.139,Freedom to make life choices,0.371
Luxembourg,14,2019,7.09,Freedom to make life choices,0.526
United Kingdom,15,2019,7.054,Freedom to make life choices,0.45
Ireland,16,2019,7.021,Freedom to make life choices,0.516
Germany,17,2019,6.985,Freedom to make life choices,0.495
Belgium,18,2019,6.923,Freedom to make life choices,0.473
United States,19,2019,6.892,Freedom to make life choices,0.454
Czech Republic,20,2019,6.852,Freedom to make life choices,0.457
United Arab Emirates,21,2019,6.825,Freedom to make life choices,0.598
Malta,22,2019,6.726,Freedom to make life choices,0.564
Mexico,23,2019,6.595,Freedom to make life choices,0.433
France,24,2019,6.592,Freedom to make life choices,0.436
Taiwan,25,2019,6.446,Freedom to make life choices,0.351
Chile,26,2019,6.444,Freedom to make life choices,0.357
Guatemala,27,2019,6.436,Freedom to make life choices,0.535
Saudi Arabia,28,2019,6.375,Freedom to make life choices,0.439
Qatar,29,2019,6.374,Freedom to make life choices,0.555
Spain,30,2019,6.354,Freedom to make life choices,0.362
Panama,31,2019,6.321,Freedom to make life choices,0.516
Brazil,32,2019,6.3,Freedom to make life choices,0.39
Uruguay,33,2019,6.293,Freedom to make life choices,0.523
Singapore,34,2019,6.262,Freedom to make life choices,0.556
El Salvador,35,2019,6.253,Freedom to make life choices,0.43
Italy,36,2019,6.223,Freedom to make life choices,0.231
Bahrain,37,2019,6.199,Freedom to make life choices,0.536
Slovakia,38,2019,6.198,Freedom to make life choices,0.334
Trinidad & Tobago,39,2019,6.192,Freedom to make life choices,0.489
Poland,40,2019,6.182,Freedom to make life choices,0.483
Uzbekistan,41,2019,6.174,Freedom to make life choices,0.631
Lithuania,42,2019,6.149,Freedom to make life choices,0.291
Colombia,43,2019,6.125,Freedom to make life choices,0.47
Slovenia,44,2019,6.118,Freedom to make life choices,0.564
Nicaragua,45,2019,6.105,Freedom to make life choices,0.435
Kosovo,46,2019,6.1,Freedom to make life choices,0.489
Argentina,47,2019,6.086,Freedom to make life choices,0.471
Romania,48,2019,6.07,Freedom to make life choices,0.462
Cyprus,49,2019,6.046,Freedom to make life choices,0.406
Ecuador,50,2019,6.028,Freedom to make life choices,0.498
Kuwait,51,2019,6.021,Freedom to make life choices,0.493
Thailand,52,2019,6.008,Freedom to make life choices,0.557
Latvia,53,2019,5.94,Freedom to make life choices,0.264
South Korea,54,2019,5.895,Freedom to make life choices,0.159
Estonia,55,2019,5.893,Freedom to make life choices,0.495
Jamaica,56,2019,5.89,Freedom to make life choices,0.49
Mauritius,57,2019,5.888,Freedom to make life choices,0.498
Japan,58,2019,5.886,Freedom to make life choices,0.445
Honduras,59,2019,5.86,Freedom to make life choices,0.507
Kazakhstan,60,2019,5.809,Freedom to make life choices,0.41
Bolivia,61,2019,5.779,Freedom to make life choices,0.511
Hungary,62,2019,5.758,Freedom to make life choices,0.199
Paraguay,63,2019,5.743,Freedom to make life choices,0.514
Northern Cyprus,64,2019,5.718,Freedom to make life choices,0.417
Peru,65,2019,5.697,Freedom to make life choices,0.455
Portugal,66,2019,5.693,Freedom to make life choices,0.508
Pakistan,67,2019,5.653,Freedom to make life choices,0.313
Russia,68,2019,5.648,Freedom to make life choices,0.334
Philippines,69,2019,5.631,Freedom to make life choices,0.558
Serbia,70,2019,5.603,Freedom to make life choices,0.282
Moldova,71,2019,5.529,Freedom to make life choices,0.245
Libya,72,2019,5.525,Freedom to make life choices,0.416
Montenegro,73,2019,5.523,Freedom to make life choices,0.197
Tajikistan,74,2019,5.467,Freedom to make life choices,0.389
Croatia,75,2019,5.432,Freedom to make life choices,0.296
Hong Kong,76,2019,5.43,Freedom to make life choices,0.44
Dominican Republic,77,2019,5.425,Freedom to make life choices,0.497
Bosnia and Herzegovina,78,2019,5.386,Freedom to make life choices,0.212
Turkey,79,2019,5.373,Freedom to make life choices,0.195
Malaysia,80,2019,5.339,Freedom to make life choices,0.508
Belarus,81,2019,5.323,Freedom to make life choices,0.235
Greece,82,2019,5.287,Freedom to make life choices,0.067
Mongolia,83,2019,5.285,Freedom to make life choices,0.317
North Macedonia,84,2019,5.274,Freedom to make life choices,0.345
Nigeria,85,2019,5.265,Freedom to make life choices,0.426
Kyrgyzstan,86,2019,5.261,Freedom to make life choices,0.508
Turkmenistan,87,2019,5.247,Freedom to make life choices,0.394
Algeria,88,2019,5.211,Freedom to make life choices,0.086
Morocco,89,2019,5.208,Freedom to make life choices,0.418
Azerbaijan,90,2019,5.208,Freedom to make life choices,0.351
Lebanon,91,2019,5.197,Freedom to make life choices,0.216
Indonesia,92,2019,5.192,Freedom to make life choices,0.491
China,93,2019,5.191,Freedom to make life choices,0.521
Vietnam,94,2019,5.175,Freedom to make life choices,0.543
Bhutan,95,2019,5.082,Freedom to make life choices,0.457
Cameroon,96,2019,5.044,Freedom to make life choices,0.381
Bulgaria,97,2019,5.011,Freedom to make life choices,0.311
Ghana,98,2019,4.996,Freedom to make life choices,0.381
Ivory Coast,99,2019,4.944,Freedom to make life choices,0.352
Nepal,100,2019,4.913,Freedom to make life choices,0.439
Jordan,101,2019,4.906,Freedom to make life choices,0.383
Benin,102,2019,4.883,Freedom to make life choices,0.349
Congo (Brazzaville),103,2019,4.812,Freedom to make life choices,0.372
Gabon,104,2019,4.799,Freedom to make life choices,0.295
Laos,105,2019,4.796,Freedom to make life choices,0.547
South Africa,106,2019,4.722,Freedom to make life choices,0.389
Albania,107,2019,4.719,Freedom to make life choices,0.383
Venezuela,108,2019,4.707,Freedom to make life choices,0.154
Cambodia,109,2019,4.7,Freedom to make life choices,0.609
Palestinian Territories,110,2019,4.696,Freedom to make life choices,0.225
Senegal,111,2019,4.681,Freedom to make life choices,0.292
Somalia,112,2019,4.668,Freedom to make life choices,0.559
Namibia,113,2019,4.639,Freedom to make life choices,0.401
Niger,114,2019,4.628,Freedom to make life choices,0.318
Burkina Faso,115,2019,4.587,Freedom to make life choices,0.255
Armenia,116,2019,4.559,Freedom to make life choices,0.283
Iran,117,2019,4.548,Freedom to make life choices,0.305
Guinea,118,2019,4.534,Freedom to make life choices,0.332
Georgia,119,2019,4.519,Freedom to make life choices,0.346
Gambia,120,2019,4.516,Freedom to make life choices,0.382
Kenya,121,2019,4.509,Freedom to make life choices,0.431
Mauritania,122,2019,4.49,Freedom to make life choices,0.066
Mozambique,123,2019,4.466,Freedom to make life choices,0.494
Tunisia,124,2019,4.461,Freedom to make life choices,0.167
Bangladesh,125,2019,4.456,Freedom to make life choices,0.527
Iraq,126,2019,4.437,Freedom to make life choices,0.241
Congo (Kinshasa),127,2019,4.418,Freedom to make life choices,0.269
Mali,128,2019,4.39,Freedom to make life choices,0.327
Sierra Leone,129,2019,4.374,Freedom to make life choices,0.309
Sri Lanka,130,2019,4.366,Freedom to make life choices,0.47
Myanmar,131,2019,4.36,Freedom to make life choices,0.525
Chad,132,2019,4.35,Freedom to make life choices,0.174
Ukraine,133,2019,4.332,Freedom to make life choices,0.178
Ethiopia,134,2019,4.286,Freedom to make life choices,0.344
Swaziland,135,2019,4.212,Freedom to make life choices,0.313
Uganda,136,2019,4.189,Freedom to make life choices,0.356
Egypt,137,2019,4.166,Freedom to make life choices,0.241
Zambia,138,2019,4.107,Freedom to make life choices,0.431
Togo,139,2019,4.085,Freedom to make life choices,0.293
India,140,2019,4.015,Freedom to make life choices,0.498
Liberia,141,2019,3.975,Freedom to make life choices,0.37
Comoros,142,2019,3.973,Freedom to make life choices,0.142
Madagascar,143,2019,3.933,Freedom to make life choices,0.148
Lesotho,144,2019,3.802,Freedom to make life choices,0.359
Burundi,145,2019,3.775,Freedom to make life choices,0.22
Zimbabwe,146,2019,3.663,Freedom to make life choices,0.361
Haiti,147,2019,3.597,Freedom to make life choices,0.026
Botswana,148,2019,3.488,Freedom to make life choices,0.455
Syria,149,2019,3.462,Freedom to make life choices,0.013
Malawi,150,2019,3.41,Freedom to make life choices,0.443
Yemen,151,2019,3.38,Freedom to make life choices,0.143
Rwanda,152,2019,3.334,Freedom to make life choices,0.555
Tanzania,153,2019,3.231,Freedom to make life choices,0.417
Afghanistan,154,2019,3.203,Freedom to make life choices,0.0
Central African Republic,155,2019,3.083,Freedom to make life choices,0.225
South Sudan,156,2019,2.853,Freedom to make life choices,0.01
Finland,1,2019,7.769,Generosity,0.153
Denmark,2,2019,7.6,Generosity,0.252
Norway,3,2019,7.554,Generosity,0.271
Iceland,4,2019,7.494,Generosity,0.354
Netherlands,5,2019,7.488,Generosity,0.322
Switzerland,6,2019,7.48,Generosity,0.263
Sweden,7,2019,7.343,Generosity,0.267
New Zealand,8,2019,7.307,Generosity,0.33
Canada,9,2019,7.278,Generosity,0.285
Austria,10,2019,7.246,Generosity,0.244
Australia,11,2019,7.228,Generosity,0.332
Costa Rica,12,2019,7.167,Generosity,0.144
Israel,13,2019,7.139,Generosity,0.261
Luxembourg,14,2019,7.09,Generosity,0.194
United Kingdom,15,2019,7.054,Generosity,0.348
Ireland,16,2019,7.021,Generosity,0.298
Germany,17,2019,6.985,Generosity,0.261
Belgium,18,2019,6.923,Generosity,0.16
United States,19,2019,6.892,Generosity,0.28
Czech Republic,20,2019,6.852,Generosity,0.046
United Arab Emirates,21,2019,6.825,Generosity,0.262
Malta,22,2019,6.726,Generosity,0.375
Mexico,23,2019,6.595,Generosity,0.074
France,24,2019,6.592,Generosity,0.111
Taiwan,25,2019,6.446,Generosity,0.242
Chile,26,2019,6.444,Generosity,0.187
Guatemala,27,2019,6.436,Generosity,0.175
Saudi Arabia,28,2019,6.375,Generosity,0.08
Qatar,29,2019,6.374,Generosity,0.22
Spain,30,2019,6.354,Generosity,0.153
Panama,31,2019,6.321,Generosity,0.109
Brazil,32,2019,6.3,Generosity,0.099
Uruguay,33,2019,6.293,Generosity,0.127
Singapore,34,2019,6.262,Generosity,0.271
El Salvador,35,2019,6.253,Generosity,0.093
Italy,36,2019,6.223,Generosity,0.158
Bahrain,37,2019,6.199,Generosity,0.255
Slovakia,38,2019,6.198,Generosity,0.121
Trinidad & Tobago,39,2019,6.192,Generosity,0.185
Poland,40,2019,6.182,Generosity,0.117
Uzbekistan,41,2019,6.174,Generosity,0.322
Lithuania,42,2019,6.149,Generosity,0.043
